month and week,max loss,avg loss,min loss,std loss,min gain,avg gain,max gain,std gain,month,week,num years,avg gain/loss ratio,min gain/loss ratio,max gain/loss ratio
1-1,-12.449392712550612,-8.060955426031615,-3.0393873085339074,3.713494423819522,-0.15182186234818387,8.451825259828055,19.584245076586434,7.3739305033608495,1.0,1.0,8,0.39086983379644025,-12.601214574898796,16.544857768052527
1-2,-12.969004893964126,-9.185565292013745,-5.423728813559327,2.7777286090691895,0.7559395248380161,6.888425515358579,13.910093299406281,5.143116899439867,1.0,2.0,8,-2.2971397766551664,-12.21306536912611,8.486364485846954
1-3,-15.729537366548035,-9.446687672146192,-4.0436456996148955,3.869214624891704,0.684462696783023,7.920139994219627,15.071953781512615,5.065377429566721,1.0,3.0,8,-1.5265476779265645,-15.045074669765013,11.02830808189772
1-4,-19.32692307692309,-9.588449023473991,-2.3688663282571856,5.544365989707752,0.07230657989876925,8.613393566607215,19.930747922437675,7.028163773729019,1.0,4.0,8,-0.9750554568667766,-19.254616497024323,17.56188159418049
2-1,-28.35314091680815,-12.155978152896047,-2.8761061946902697,8.916789359490442,4.753820033955862,11.751653626564305,17.48998664886515,4.131859606557809,2.0,1.0,8,-0.40432452633174165,-23.59932088285229,14.613880454174879
2-2,-14.30143014301431,-9.013149600529207,-1.03567318757192,4.836759085241619,4.388297872340427,10.22431066394156,19.38872970391596,6.393701037366057,2.0,2.0,8,1.2111610634123533,-9.913132270673882,18.35305651634404
2-3,-25.16592920353983,-8.16502982766142,-1.2373453318335343,7.935399329764655,-0.7743362831858439,7.432733207105805,14.927536231884048,4.920511822927959,2.0,3.0,8,-0.7322966205556156,-25.94026548672567,13.690190900050514
2-4,-38.53459972862957,-10.87653491989052,-1.905626134301262,11.952769138414517,2.8974158183242054,11.118769385207733,23.865698729582586,7.533365045695093,2.0,4.0,8,0.24223446531721216,-35.63718391030537,21.960072595281325
3-1,-86.24787775891342,-19.862656368905796,-2.4761321909424634,27.73285992726462,-30.89983022071308,4.082968914810094,15.055079559363518,15.332760810810084,3.0,1.0,8,-15.779687454095702,-117.1477079796265,12.578947368421055
3-2,-86.33333333333333,-17.777614285914474,-1.761252446183962,28.36777116025256,4.9999999999999964,10.5592263229135,17.286366601435084,3.9563877736013406,3.0,2.0,8,-7.218387963000975,-81.33333333333333,15.525114155251122
3-3,-64.4578313253012,-17.67123766971256,-6.424747174301001,19.09481297768161,0.8571428571428693,12.842897180399078,47.59036144578315,14.766376087263579,3.0,3.0,8,-4.828340489313483,-63.60068846815833,41.16561427148215
3-4,-37.278106508875744,-10.617644043282265,1.0882016036655082,12.783038641641376,2.964601769911496,18.34164860027224,66.86390532544378,20.610002602646556,3.0,4.0,8,7.724004556989975,-34.31350473896425,67.95210692910929
4-1,-27.173913043478265,-8.315773082776392,0.10649627263045566,8.315247605964592,2.587176602924639,12.008021514078042,23.13034188034189,7.453631101696318,4.0,1.0,8,3.6922484313016497,-24.586736440553626,23.236838152972346
4-2,-17.216117216117226,-8.894842475542806,-4.035489410417849,4.615647689817381,2.897196261682231,12.554916288176852,36.63003663003663,10.873019063621713,4.0,2.0,8,3.660073812634046,-14.318920954434995,32.594547219618775
4-3,-20.00000000000001,-11.421102748449918,-3.6669970267591596,5.903174794590964,3.1428571428571472,14.144493468951548,41.967213114754095,12.728802514972454,4.0,3.0,8,2.72339072050163,-16.857142857142865,38.30021608799493
4-4,-17.365269461077833,-12.061057763309945,-2.6946107784431272,5.375864577195493,1.8537074148296644,12.483694654321464,34.880239520958085,11.76728255167224,4.0,4.0,8,0.42263689101151947,-15.51156204624817,32.18562874251496
5-1,-19.818652849740925,-9.537201752494889,-4.9817184643510055,4.750767130130353,4.03314917127072,9.81569629131876,18.393782383419687,4.481889313647622,5.0,1.0,8,0.2784945388238711,-15.785503678470205,13.412063919068682
5-2,-11.94560185185185,-6.215492564203314,0.2695417789757355,4.510382750246516,1.7939814814814738,11.924636699498254,34.77088948787061,10.457552970975435,5.0,2.0,8,5.709144135294941,-10.151620370370376,35.04043126684635
5-3,-13.478260869565215,-7.307242198473661,-1.847365233192003,3.8415467975372666,5.05575757575757,8.206029465003745,14.588235294117638,3.326545499745648,5.0,3.0,8,0.8987872665300838,-8.422503293807644,12.740870060925635
5-4,-14.072494669509597,-6.289560368474584,3.9913899138991438,6.228699039602523,2.2388059701492438,10.742351597052288,25.750577367205548,8.790956746293315,5.0,4.0,8,4.452791228577704,-11.833688699360353,29.741967281104692
6-1,-28.47428814279643,-13.87443183227554,-4.501216545012177,7.707557017776699,-0.29749256268593405,9.530620969255756,30.916030534351147,9.757641051957231,6.0,1.0,8,-4.343810863019785,-28.771780705482364,26.41481398933897
6-2,-34.49781659388647,-16.10368098486895,-1.2987012987012918,11.518926556719546,2.882882882882886,8.36590616628806,13.864628820960695,3.8015015670581414,6.0,2.0,8,-7.737774818580892,-31.614933711003584,12.565927522259402
6-3,-17.68115942028985,-9.936190105368963,-2.724520686175576,5.636128209918168,3.5934291581108795,9.789761062116863,16.197557089750404,4.490478047065759,6.0,3.0,8,-0.14642904325210004,-14.087730262178969,13.473036403574827
6-4,-23.218997361477566,-9.095899186584719,-3.415783274440508,6.466250729199681,1.662269129287587,7.545673695852566,11.512524084778404,3.544030354191901,6.0,4.0,8,-1.5502254907321529,-21.55672823218998,8.096740810337895
7-1,-18.257491675915645,-9.337754574568432,-1.3568129330254008,7.613076022392861,5.20833333333335,8.963333856242187,11.538461538461533,2.0362509998458,7.0,1.0,8,-0.37442071832624535,-13.049158342582295,10.181648605436132
7-2,-21.40914709517925,-8.368684388492685,-1.5027322404371628,6.083780882822432,-0.09460737937558927,8.46455245902342,21.41255605381166,7.700543164268701,7.0,2.0,8,0.09586807053073443,-21.50375447455484,19.909823813374498
7-3,-13.173652694610782,-6.325244475386892,-0.11481056257175414,3.903645293667004,3.0014124293785236,11.795180246456397,20.805369127516776,6.2704650433235685,7.0,3.0,8,5.469935771069505,-10.172240265232258,20.69055856494502
7-4,-20.073375262054498,-10.466342372188866,-2.858655373213336,5.245866362316147,3.2980866062437117,9.691228870323455,14.573991031390143,4.00767514784057,7.0,4.0,8,-0.7751135018654107,-16.775288655810787,11.715335658176807
8-1,-16.414904330312194,-9.289474706525935,-2.9716655148583255,5.401951819781506,1.7478152309613053,9.294295068672337,18.5277207392197,6.12880287633252,8.0,1.0,8,0.004820362146402246,-14.66708909935089,15.556055224361373
8-2,-15.206812652068113,-9.098308780939773,-1.0847457627118653,4.450668027798633,2.4666666666666734,7.170565568169666,12.152034261241967,3.567390477963814,8.0,2.0,8,-1.9277432127701069,-12.740145985401439,11.067288498530102
