,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime,week,month,year,month and week,quarter,max loss,max gain
25,14.05,14.1,12.9,53240,13.52,9302519,13.493076,2016-06-27 04:00:00+00:00,1467028800.0,4,6,2016,6-4,2,-6.192170818505332,7.758007117437721
26,13.86,13.99,13.23,40093,13.82,6574588,13.672123,2016-07-04 04:00:00+00:00,1467633600.0,1,7,2016,7-1,3,-2.4531024531024523,9.018759018759019
27,14.18,14.48,13.65,61575,13.92,10560435,14.083541,2016-07-11 04:00:00+00:00,1468238400.0,2,7,2016,7-2,3,-3.913963328631874,6.135401974612124
28,14.16,14.52,13.925,64083,14.07,12039508,14.219991,2016-07-18 04:00:00+00:00,1468843200.0,3,7,2016,7-3,3,-9.95762711864407,3.0014124293785236
29,14.3,14.35,13.11,74514,13.97,12424089,13.840788,2016-07-25 04:00:00+00:00,1469448000.0,4,7,2016,7-4,3,-6.153846153846146,11.53846153846154
30,14.47,14.76,13.47,52704,14.04,8992701,14.133491,2016-08-01 04:00:00+00:00,1470052800.0,1,8,2016,8-1,3,-2.9716655148583255,10.780926053904622
31,14.75,15.03,14.33,41939,14.65,6813218,14.703679,2016-08-08 04:00:00+00:00,1470657600.0,2,8,2016,8-2,3,-1.0847457627118653,9.423728813559325
32,15.44,15.72,14.87,39131,14.89,6277207,15.325343,2016-08-15 04:00:00+00:00,1471262400.0,3,8,2016,8-3,3,-6.282383419689124,2.7849740932642586
33,14.85,15.3,14.75,38157,15.15,6866939,15.036533,2016-08-22 04:00:00+00:00,1471867200.0,4,8,2016,8-4,3,-6.936026936026944,2.62626262626263
34,14.85,15.14,14.27,47379,14.7,8441027,14.686625,2016-08-29 04:00:00+00:00,1472472000.0,5,8,2016,8-5,3,-4.0404040404040495,7.272727272727273
35,14.65,15.35,14.54,44687,14.94,7646342,14.863419,2016-09-05 04:00:00+00:00,1473076800.0,1,9,2016,9-1,3,-13.515358361774746,0.2730375426621223
36,13.54,14.58,13.37,54049,14.4,8661110,13.815186,2016-09-12 04:00:00+00:00,1473681600.0,2,9,2016,9-2,3,-9.748892171344169,5.391432791728216
37,13.53,14.1,13.26,40293,13.72,6908382,13.609431,2016-09-19 04:00:00+00:00,1474286400.0,3,9,2016,9-3,3,-8.647450110864744,10.199556541019962
38,14.37,14.64,12.93,71798,13.63,13140871,13.923974,2016-09-26 04:00:00+00:00,1474891200.0,4,9,2016,9-4,3,-4.732080723729991,16.07515657620042
39,14.9,15.24,13.96,60058,14.41,10893233,14.700005,2016-10-03 04:00:00+00:00,1475496000.0,1,10,2016,10-1,4,-1.6107382550335587,12.885906040268456
40,15.62,15.88,15.0,50838,15.14,8839000,15.41635,2016-10-10 04:00:00+00:00,1476100800.0,2,10,2016,10-2,4,-4.289372599231754,5.441741357234313
41,15.68,15.85,15.21,48064,15.6,8319047,15.532546,2016-10-17 04:00:00+00:00,1476705600.0,3,10,2016,10-3,4,-6.058673469387751,4.783163265306122
42,14.96,15.96,14.9,68737,15.63,11021502,15.351715,2016-10-24 04:00:00+00:00,1477310400.0,4,10,2016,10-4,4,-17.379679144385037,-0.334224598930486
43,13.77,14.85,13.36,67073,14.8,10868729,14.153127,2016-10-31 04:00:00+00:00,1477915200.0,5,10,2016,10-5,4,-8.46042120551924,7.697893972403779
44,14.0,14.42,13.685,50072,13.95,7226910,14.075355,2016-11-07 05:00:00+00:00,1478523600.0,1,11,2016,11-1,4,-5.749999999999998,9.25
45,14.52,14.98,13.615,42275,14.0,5922109,14.44295,2016-11-14 05:00:00+00:00,1479128400.0,2,11,2016,11-2,4,-1.9283746556473909,12.293388429752067
