month and week,max loss,avg loss,min loss,std loss,min gain,avg gain,max gain,std gain
1-1,-12.449392712550612,-8.060955426031615,-3.0393873085339074,3.713494423819522,-0.15182186234818387,8.451825259828055,19.584245076586434,7.3739305033608495
1-2,-12.969004893964126,-9.185565292013745,-5.423728813559327,2.7777286090691895,0.7559395248380161,6.888425515358579,13.910093299406281,5.143116899439867
1-3,-15.729537366548035,-9.446687672146192,-4.0436456996148955,3.869214624891704,0.684462696783023,7.920139994219627,15.071953781512615,5.065377429566721
1-4,-19.32692307692309,-9.588449023473991,-2.3688663282571856,5.544365989707752,0.07230657989876925,8.613393566607215,19.930747922437675,7.028163773729019
2-1,-28.35314091680815,-12.155978152896047,-2.8761061946902697,8.916789359490442,4.753820033955862,11.751653626564305,17.48998664886515,4.131859606557809
2-2,-14.30143014301431,-9.013149600529207,-1.03567318757192,4.836759085241619,4.388297872340427,10.22431066394156,19.38872970391596,6.393701037366057
2-3,-25.16592920353983,-8.16502982766142,-1.2373453318335343,7.935399329764655,-0.7743362831858439,7.432733207105805,14.927536231884048,4.920511822927959
2-4,-38.53459972862957,-10.87653491989052,-1.905626134301262,11.952769138414517,2.8974158183242054,11.118769385207733,23.865698729582586,7.533365045695093
3-1,-86.24787775891342,-19.862656368905796,-2.4761321909424634,27.73285992726462,-30.89983022071308,4.082968914810094,15.055079559363518,15.332760810810084
3-2,-86.33333333333333,-17.777614285914474,-1.761252446183962,28.36777116025256,4.9999999999999964,10.5592263229135,17.286366601435084,3.9563877736013406
3-3,-64.4578313253012,-17.67123766971256,-6.424747174301001,19.09481297768161,0.8571428571428693,12.842897180399078,47.59036144578315,14.766376087263579
3-4,-37.278106508875744,-10.617644043282265,1.0882016036655082,12.783038641641376,2.964601769911496,18.34164860027224,66.86390532544378,20.610002602646556
4-1,-27.173913043478265,-8.315773082776392,0.10649627263045566,8.315247605964592,2.587176602924639,12.008021514078042,23.13034188034189,7.453631101696318
4-2,-17.216117216117226,-8.894842475542806,-4.035489410417849,4.615647689817381,2.897196261682231,12.554916288176852,36.63003663003663,10.873019063621713
4-3,-20.00000000000001,-11.421102748449918,-3.6669970267591596,5.903174794590964,3.1428571428571472,14.144493468951548,41.967213114754095,12.728802514972454
4-4,-17.365269461077833,-12.061057763309945,-2.6946107784431272,5.375864577195493,1.8537074148296644,12.483694654321464,34.880239520958085,11.76728255167224
5-1,-19.818652849740925,-9.537201752494889,-4.9817184643510055,4.750767130130353,4.03314917127072,9.81569629131876,18.393782383419687,4.481889313647622
5-2,-11.94560185185185,-6.215492564203314,0.2695417789757355,4.510382750246516,1.7939814814814738,11.924636699498254,34.77088948787061,10.457552970975435
5-3,-13.478260869565215,-7.307242198473661,-1.847365233192003,3.8415467975372666,5.05575757575757,8.206029465003745,14.588235294117638,3.326545499745648
5-4,-14.072494669509597,-6.289560368474584,3.9913899138991438,6.228699039602523,2.2388059701492438,10.742351597052288,25.750577367205548,8.790956746293315
6-1,-28.47428814279643,-13.87443183227554,-4.501216545012177,7.707557017776699,-0.29749256268593405,9.530620969255756,30.916030534351147,9.757641051957231
